f1,f2,sim
insiemi,ripasso sullo slicing  insiemi e dizionari,0.66296136
ripasso sullo slicing  insiemi e dizionari,insiemi e dizionari,0.90103173
insiemi e dizionari,insiemi e dizionario,0.88856715
insiemi e dizionario,insieme  dizionari  liste,0.6386336
insieme  dizionari  liste,insiemi e dizionari,0.68348813
insiemi e dizionari,come duplicare le varie liste  gli insiemi e  il dizionario,0.736557
come duplicare le varie liste  gli insiemi e  il dizionario,insiemi e chiavi,0.8162876
insiemi e chiavi,dizionari insiemi,0.7675468
dizionari insiemi,insiemi e dizionari,0.97312146
insiemi e dizionari,liste  insiemi  unione  intersezione  differenza e dizionari,0.72129166
liste  insiemi  unione  intersezione  differenza e dizionari,insiemi e dizionari,0.72129166
insiemi e dizionari,insiemi  unire insiemi  duplicare liste,0.7902779
insiemi  unire insiemi  duplicare liste,insiemi,0.80329835
insiemi,insiemi e dizionari,0.8110378
insiemi e dizionari,spiegare insiemi e dizionari e capire come duplicare le liste,0.81800395
spiegare insiemi e dizionari e capire come duplicare le liste,definizione insiemi e dizionario,0.77547336
definizione insiemi e dizionario,introduzione duplicazione lista e insiemi,0.7510009
introduzione duplicazione lista e insiemi,insiemi e dizionari,0.74012405
liste e insiemi  dizionari,gli insiemi,0.7551177
gli insiemi,gli insiemi e i dizionari,0.8530932
gli insiemi e i dizionari,insiemi,0.7920267
insiemi,insiemi  dizionari,0.8721048
,esercizi,0.6116241
esercizi,esercitazione usando scramble code,0.28569502
esercitazione usando scramble code,creazione dizionario,0.39328077
creazione dizionario,scrambled code e dizionario,0.77860284
scrambled code e dizionario,scrambled code   utile,0.674086
scrambled code   utile,esercizi,0.6144119
esercizi,scramble code,0.37705833
scramble code,cosa sono le tuple e esercizi sull indice analitico,0.49200246
cosa sono le tuple e esercizi sull indice analitico,tupla  esercizio,0.7246624
che cosa sono le tuple  esercizi sull indice analitico,tuple,0.7891725
tuple,esercitazione,0.25047976
esercitazione,esercizio con i dizionari,0.28554666
esercizio con i dizionari,lo  scrambled code  essere utile,0.6380372
lo  scrambled code  essere utile,funzione indice analitico,0.4426625
funzione indice analitico,tuple ed esercizio con dizionari,0.6036131
tuple ed esercizio con dizionari,tupla,0.6529436
tupla,esercitazione,0.18689036
esercitazione,esercizio dizionario utilissimo lo scrambled code,0.28388035
esercizio dizionario utilissimo lo scrambled code,esercizi,0.5087607
esercizi,tuple  dizionari,0.47775212
tuple  dizionari,le tuple  lo scrambled code essere molto utile,0.70963687
le tuple  lo scrambled code essere molto utile,esercizio su tuple,0.6977725
esercizio su tuple,tuple,0.7670677
tuple,tuple,0.862458
scrambled code utile  anche per le prossime volte  e tuple,esercizio sul dizionario,0.6712264
esercizio sul dizionario,tupla,0.3541797
tupla,esercizio su dizionario e liste,0.44280034
esercizio su dizionario e liste,l esercizio,0.57115924
l esercizio,tuple e dizionari,0.35857725
tuple e dizionari,esercizi,0.31411824
creare la funzione indice analitico,tuple ed esercizio sul dizionario inizialmente lo scrambled code potrebbe essere utile,0.7449299
esercizio con scrambled code,i dizionari,0.5230438
i dizionari,esercizi,0.5467936
esercizi,esercizio sull indice analitico,0.5132395
esercizio sull indice analitico,esercizio in classe,0.5522666
esercizio in classe,tuple,0.34406802
tuple,introduzione delle tuple,0.7959021
introduzione delle tuple,esercizi con scrambled code,0.58628744
tuple  esercizi,uso del dizionario,0.570411
uso del dizionario,esercizio su codice che restituisse in uscita un dizionario,0.81588364
esercizio su codice che restituisse in uscita un dizionario,tuple ed esercizi,0.72307676
esercizio con dizionario,esame,0.31900492
esame,simulazione esame,0.7892821
simulazione esame,simulazione d esame,0.89515877
simulazione d esame,simulazione esame,0.89515877
simulazione esame,simulazione prova d esame,0.8825651
simulazione prova d esame,preparazione esame,0.6876871
preparazione esame,esercitazione liste e insiemi,0.44967678
esercitazione liste e insiemi,esercitazioni sui dizionari,0.62258375
esercitazioni sui dizionari,risoluzione degli esami,0.4719628
risoluzione degli esami,simulazione esame,0.6562789
simulazione esame,preparazione e simulazione di esame,0.77701586
preparazione e simulazione di esame,algoritmi di ordinamento,0.7047597
algoritmi di ordinamento,algoritmi di ordinamento,1.0
algoritmi di ordinamento,dizionari insiemi,0.6541547
dizionari insiemi,algoritmi di ordinamento,0.6541547
algoritmi di ordinamento,algoritmi di ordinamento,0.9652575
algoritmi di ordinamento,algoritmi di ordinamento,0.9652575
algoritmi di ordinamento,selection sort e bubble sort,0.5586245
selection sort e bubble sort,algoritmi di ordinamento,0.5569869
algoritmi di ordinamento,algoritmi di ordinamento,0.9652575
algoritmi di ordinamento,algoritmi fi ordinamento,0.8969904
algoritmi fi ordinamento,algoritmo di ordinamento,0.8624823
algoritmo di ordinamento,algoritmi di ordinamento,0.95069283
algoritmi di ordinamento,algoritmi di ordinamento,0.9652575
risolvere il problema d ordinamento  bubble sort  selection sort,selection sort,0.88488543
selection sort,algoritmo selection e bubble sort,0.88611865
algoritmo selection e bubble sort,algoritmi di ordinamento,0.6776417
algoritmi di ordinamento,algoritmi di ordinamento,1.0
algoritmi di ordinamento,vari algoritmi per uno stesso problema,0.76940984
algoritmi di ordinazione,spiegazione bubble sort e select sort,0.48574919
spiegazione bubble sort e select sort,algoritmi di ordinamento,0.580725
algoritmi di ordinamento,algoritmi di ordinamento,0.9652575
